PeakID (cmd=annotatePeaks.pl results/filtered_reproducible_peaks.bed mm10 -gtf results/m39_gene_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-581	chr11	65011187	65011330	+	1	NA	intron (ENSMUST00000093002.12, intron 1 of 20)	protein_coding-intron (ENSMUST00000047463.15, intron 1 of 20)	39459	ENSMUST00000108696.7	ENSMUSG00000020548	ENSMUST00000108696			1700086D15Rik			lncRNA
chr5-811	chr5	111375373	111375541	+	1	NA	intron (ENSMUST00000156290.9, intron 8 of 22)	protein_coding-intron (ENSMUST00000040111.10, intron 9 of 23)	2133	ENSMUST00000125470.2	ENSMUSG00000033209	ENSMUST00000156290			Ttc28			protein_coding
chr1-570	chr1	39031565	39031733	+	1	NA	promoter-TSS (ENSMUST00000194994.2)	TEC-promoter-TSS (ENSMUST00000194994.2)	-110	ENSMUST00000194994.2	ENSMUSG00000103046	ENSMUST00000194994			Gm37309			TEC
chr19-5	chr19	55582275	55582443	+	1	NA	intron (ENSMUST00000223690.2, intron 8 of 8)	protein_coding-intron (ENSMUST00000095950.3, intron 7 of 7)	-147893	ENSMUST00000041717.14	ENSMUSG00000024985	ENSMUST00000127653			Tcf7l2			protein_coding
chr10-928	chr10	59131159	59131300	+	1	NA	Intergenic	Intergenic	-27889	ENSMUST00000009789.15	ENSMUSG00000019916	ENSMUST00000105466			P4ha1			protein_coding
chr2-762	chr2	67276042	67276210	+	1	NA	promoter-TSS (ENSMUST00000028410.4)	protein_coding-promoter-TSS (ENSMUST00000028410.4)	-220	ENSMUST00000239060.2	ENSMUSG00000027022	ENSMUST00000239164			Xirp2			protein_coding
chr16-423	chr16	42344176	42344344	+	1	NA	Intergenic	Intergenic	-140029	ENSMUST00000232064.2	ENSMUSG00000116679	ENSMUST00000232064			Gm49739			processed_pseudogene
chr11-322	chr11	21264286	21264454	+	1	NA	exon (ENSMUST00000153159.2, exon 1 of 2)	protein_coding-exon (ENSMUST00000153159.2, exon 1 of 2)	289	ENSMUST00000153159.2	ENSMUSG00000020128	ENSMUST00000132017			Vps54			protein_coding
chr1-1184	chr1	73954525	73954693	+	1	NA	intron (ENSMUST00000239451.2, intron 32 of 32)	protein_coding-intron (ENSMUST00000169786.8, intron 34 of 34)	12767	ENSMUST00000191527.7	ENSMUSG00000055322	ENSMUST00000190599			Tns1			protein_coding
chr10-114	chr10	83862719	83862887	+	1	NA	Intergenic	Intergenic	-22079	ENSMUST00000215772.2	ENSMUSG00000111699	ENSMUST00000215772			C230099D08Rik			lncRNA
chr14-298	chr14	105664901	105665069	+	1	NA	promoter-TSS (ENSMUST00000226670.2)	lncRNA-promoter-TSS (ENSMUST00000226670.2)	-8	ENSMUST00000226670.2	ENSMUSG00000115548	ENSMUST00000226670			5430440P10Rik			lncRNA
chr1-1520	chr1	194340667	194340835	+	1	NA	exon (ENSMUST00000125381.2, exon 3 of 3)	protein_coding-exon (ENSMUST00000125381.2, exon 3 of 3)	8124	ENSMUST00000192025.2	ENSMUSG00000102523	ENSMUST00000192025			Gm37783			TEC
chr1-1195	chr1	80340130	80340279	+	1	NA	Intergenic	Intergenic	-20335	ENSMUST00000187121.2	ENSMUSG00000101722	ENSMUST00000187121			Gm29125			lncRNA
chr14-116	chr14	63373172	63373340	+	1	NA	intron (ENSMUST00000225540.2, intron 1 of 5)	protein_coding-intron (ENSMUST00000006235.9, intron 4 of 9)	289	ENSMUST00000225540.2	ENSMUSG00000021939	ENSMUST00000225540			Ctsb			protein_coding
chr17-482	chr17	47423831	47423999	+	1	NA	Intergenic	Intergenic	-27886	ENSMUST00000188947.7	ENSMUSG00000064043	ENSMUST00000188947			Trerf1			protein_coding
chr9-301	chr9	96570544	96570712	+	1	NA	TTS (ENSMUST00000128269.8)	protein_coding-TTS (ENSMUST00000128269.8)	-17253	ENSMUST00000186821.2	ENSMUSG00000102097	ENSMUST00000186821			A930006L05Rik			lncRNA
chr12-123	chr12	54252132	54252300	+	1	NA	Intergenic	Intergenic	-1570	ENSMUST00000039516.4	ENSMUSG00000035105	ENSMUST00000039516			Egln3			protein_coding
chr8-269	chr8	125954054	125954222	+	1	NA	promoter-TSS (ENSMUST00000156666.2)	lncRNA-promoter-TSS (ENSMUST00000156666.2)	-76	ENSMUST00000156666.2	ENSMUSG00000086694	ENSMUST00000156666			Gm16237			lncRNA
chr3-751	chr3	83616270	83616438	+	1	NA	Intergenic	Intergenic	6795	ENSMUST00000240217.1	ENSMUSG00000119833	ENSMUST00000240217			Gm24584			snRNA
chr2-122	chr2	6672488	6672656	+	1	NA	intron (ENSMUST00000182404.8, intron 3 of 11)	protein_coding-intron (ENSMUST00000002176.13, intron 4 of 15)	-51581	ENSMUST00000148321.9	ENSMUSG00000002107	ENSMUST00000183091			Celf2			protein_coding
chr3-856	chr3	84646324	84646381	+	1	NA	intron (ENSMUST00000154148.8, intron 3 of 9)	protein_coding-intron (ENSMUST00000154148.8, intron 3 of 9)	48822	ENSMUST00000128344.2	ENSMUSG00000056498	ENSMUST00000134890			Tmem154			protein_coding
chr6-627	chr6	114752268	114752323	+	1	NA	intron (ENSMUST00000183165.8, intron 16 of 16)	protein_coding-intron (ENSMUST00000032457.17, intron 17 of 18)	-14056	ENSMUST00000203217.2	ENSMUSG00000107395	ENSMUST00000203217			Gm44331			processed_pseudogene
chr3-845	chr3	58585075	58585243	+	1	NA	intron (ENSMUST00000070368.8, intron 1 of 1)	protein_coding-intron (ENSMUST00000070368.8, intron 1 of 1)	8299	ENSMUST00000145032.2	ENSMUSG00000036432	ENSMUST00000145032			Siah2			protein_coding
chr10-872	chr10	118837425	118837593	+	1	NA	Intergenic	Intergenic	20066	ENSMUST00000217840.2	ENSMUSG00000112540	ENSMUST00000217840			Gm47461			lncRNA
chr3-654	chr3	57571527	57571695	+	1	NA	TTS (ENSMUST00000197088.5)	protein_coding-TTS (ENSMUST00000197088.5)	-8611	ENSMUST00000198619.2	ENSMUSG00000105389	ENSMUST00000198619			BB187690			TEC
chr15-305	chr15	80946355	80946523	+	1	NA	intron (ENSMUST00000239114.2, intron 2 of 13)	protein_coding-intron (ENSMUST00000109579.9, intron 1 of 12)	4774	ENSMUST00000239267.2	ENSMUSG00000042292	ENSMUST00000154797			Mrtfa			protein_coding
chr17-44	chr17	13975298	13975466	+	1	NA	intron (ENSMUST00000148430.3, intron 1 of 2)	lncRNA-intron (ENSMUST00000053376.13, intron 1 of 3)	4865	ENSMUST00000129681.3	ENSMUSG00000038347	ENSMUST00000128194			Tcte2			lncRNA
chr7-1160	chr7	114306019	114306187	+	1	NA	promoter-TSS (ENSMUST00000071523.5)	transcribed_processed_pseudogene-promoter-TSS (ENSMUST00000071523.5)	-632	ENSMUST00000071641.6	ENSMUSG00000121777	ENSMUST00000071641			ENSMUSG00000121777			lncRNA
chr13-713	chr13	32174811	32174979	+	1	NA	intron (ENSMUST00000041859.9, intron 7 of 10)	protein_coding-intron (ENSMUST00000041859.9, intron 7 of 10)	19826	ENSMUST00000221737.2	ENSMUSG00000113935	ENSMUST00000221737			Gm35732			lncRNA
chr11-1114	chr11	114813428	114813596	+	1	NA	TTS (ENSMUST00000106581.5)	protein_coding-TTS (ENSMUST00000106581.5)	-10185	ENSMUST00000119016.2	ENSMUSG00000083677	ENSMUST00000119016			Gm11699			processed_pseudogene
chr13-594	chr13	104160228	104160396	+	1	NA	TTS (ENSMUST00000225704.2)	protein_coding-TTS (ENSMUST00000225704.2)	10769	ENSMUST00000225704.2	ENSMUSG00000021710	ENSMUST00000225478			Nln			protein_coding
chr5-713	chr5	113230514	113230654	+	1	NA	Intergenic	Intergenic	-1134	ENSMUST00000119627.8	ENSMUSG00000029352	ENSMUST00000119627			Crybb3			protein_coding
chr16-79	chr16	35213309	35213477	+	1	NA	Intergenic	Intergenic	-4938	ENSMUST00000082835.3	ENSMUSG00000064769	ENSMUST00000082835			Gm23518			snRNA
chr3-405	chr3	123058602	123058770	+	1	NA	intron (ENSMUST00000244708.1, intron 1 of 1)	lncRNA-intron (ENSMUST00000244708.1, intron 1 of 1)	239	ENSMUST00000244708.1	ENSMUSG00000120630	ENSMUST00000244708			Gm56815			lncRNA
chr1-53	chr1	171961223	171961391	+	1	NA	promoter-TSS (ENSMUST00000133081.2)	protein_coding-promoter-TSS (ENSMUST00000133081.2)	-220	ENSMUST00000133081.2	ENSMUSG00000003464	ENSMUST00000147799			Pex19			protein_coding
chr1-1023	chr1	39771122	39771283	+	1	NA	Intergenic	Intergenic	-11045	ENSMUST00000151913.3	ENSMUSG00000057173	ENSMUST00000151913			Rfx8			protein_coding
chr6-479	chr6	55626540	55626708	+	1	NA	Intergenic	Intergenic	-31580	ENSMUST00000245976.1	ENSMUSG00000120822	ENSMUST00000245976			Gm56939			lncRNA
chr1-1201	chr1	87568254	87568422	+	1	NA	intron (ENSMUST00000169754.8, intron 2 of 26)	protein_coding-intron (ENSMUST00000042275.15, intron 2 of 26)	18942	ENSMUST00000163576.2	ENSMUSG00000026288	ENSMUST00000042275			Inpp5d			protein_coding
chr4-487	chr4	46933620	46933788	+	1	NA	intron (ENSMUST00000107749.4, intron 1 of 18)	protein_coding-intron (ENSMUST00000107749.4, intron 1 of 18)	58169	ENSMUST00000107749.4	ENSMUSG00000039809	ENSMUST00000129328			Gabbr2			protein_coding
chr7-541	chr7	110301564	110301732	+	1	NA	Intergenic	Intergenic	-2707	ENSMUST00000210822.2	ENSMUSG00000109700	ENSMUST00000210822			Gm21123			lncRNA
chr11-12	chr11	107539769	107539937	+	1	NA	intron (ENSMUST00000133862.2, intron 6 of 13)	protein_coding-intron (ENSMUST00000075012.8, intron 21 of 31)	11305	ENSMUST00000185044.3	ENSMUSG00000098497	ENSMUST00000185044			Mir6932			miRNA
chr13-585	chr13	97512573	97512741	+	1	NA	promoter-TSS (ENSMUST00000223964.2)	lncRNA-promoter-TSS (ENSMUST00000223964.2)	-85	ENSMUST00000223964.2	ENSMUSG00000114425	ENSMUST00000223964			Gm33447			lncRNA
chr6-322	chr6	54542121	54542270	+	1	NA	intron (ENSMUST00000019268.11, intron 1 of 7)	protein_coding-intron (ENSMUST00000019268.11, intron 1 of 7)	1279	ENSMUST00000019268.11	ENSMUSG00000019124	ENSMUST00000140235			Scrn1			protein_coding
chr2-1612	chr2	160620088	160620256	+	1	NA	intron (ENSMUST00000109460.8, intron 3 of 3)	protein_coding-intron (ENSMUST00000103111.9, intron 2 of 2)	18134	ENSMUST00000143997.2	ENSMUSG00000016933	ENSMUST00000173791			Plcg1			protein_coding
chr1-1411	chr1	119567833	119568001	+	1	NA	intron (ENSMUST00000191046.7, intron 2 of 16)	protein_coding-intron (ENSMUST00000027632.14, intron 2 of 16)	-6187	ENSMUST00000189042.2	ENSMUSG00000026383	ENSMUST00000189042			Epb41l5			protein_coding
chr16-318	chr16	44035884	44036013	+	1	NA	TTS (ENSMUST00000141015.8)	protein_coding-TTS (ENSMUST00000141015.8)	42188	ENSMUST00000169582.3	ENSMUSG00000068284	ENSMUST00000141015			Usf3			protein_coding
chr10-481	chr10	94398949	94399117	+	1	NA	intron (ENSMUST00000148910.3, intron 1 of 1)	protein_coding-intron (ENSMUST00000065060.12, intron 1 of 3)	-12086	ENSMUST00000121471.8	ENSMUSG00000020023	ENSMUST00000139230			Tmcc3			protein_coding
chr7-520	chr7	36027478	36027642	+	1	NA	Intergenic	Intergenic	25620	ENSMUST00020182078.1	ENSMUSG00002075020	ENSMUST00020182078			Gm56387			miRNA
chr12-778	chr12	85483548	85483716	+	1	NA	promoter-TSS (ENSMUST00000220805.2)	lncRNA-promoter-TSS (ENSMUST00000220805.2)	-609	ENSMUST00000221505.2	ENSMUSG00000113940	ENSMUST00000221505			Gm40477			lncRNA
chr17-310	chr17	6163985	6164153	+	1	NA	intron (ENSMUST00000126982.8, intron 1 of 1)	protein_coding-intron (ENSMUST00000126982.8, intron 1 of 1)	-4500	ENSMUST00000145340.8	ENSMUSG00000034377	ENSMUST00000149756			Tulp4			protein_coding
chr8-531	chr8	72890527	72890692	+	1	NA	TTS (ENSMUST00000181918.2)	lncRNA-TTS (ENSMUST00000181918.2)	957	ENSMUST00000238492.2	ENSMUSG00000031799	ENSMUST00000003575			Tpm4			protein_coding
chr6-61	chr6	126011829	126011997	+	1	NA	intron (ENSMUST00000161619.8, intron 24 of 25)	protein_coding-intron (ENSMUST00000159984.2, intron 15 of 16)	130010	ENSMUST00000204542.3	ENSMUSG00000049107	ENSMUST00000204542			Ntf3			protein_coding
chr5-191	chr5	121823779	121823947	+	1	NA	exon (ENSMUST00000031414.15, exon 12 of 12)	protein_coding-exon (ENSMUST00000031414.15, exon 12 of 12)	2872	ENSMUST00000196897.2	ENSMUSG00000029458	ENSMUST00000127703			Brap			protein_coding
chr12-434	chr12	21284694	21284862	+	1	NA	intron (ENSMUST00000101562.11, intron 16 of 27)	protein_coding-intron (ENSMUST00000050990.10, intron 15 of 26)	12546	ENSMUST00000172962.2	ENSMUSG00000062352	ENSMUST00000173729			Itgb1bp1			protein_coding
chr6-470	chr6	33019894	33020062	+	1	NA	promoter-TSS (ENSMUST00000200761.2)	TEC-promoter-TSS (ENSMUST00000200761.2)	-924	ENSMUST00000200761.2	ENSMUSG00000106676	ENSMUST00000200761			Gm42895			TEC
chr1-1291	chr1	181387347	181387446	+	1	NA	Intergenic	Intergenic	-16728	ENSMUST00000208001.2	ENSMUSG00000047369	ENSMUST00000097446			Dnah14			protein_coding
chr1-253	chr1	182736154	182736322	+	1	NA	exon (ENSMUST00000192563.2, exon 1 of 1)	TEC-exon (ENSMUST00000192563.2, exon 1 of 1)	963	ENSMUST00000192563.2	ENSMUSG00000102291	ENSMUST00000192563			Gm37542			TEC
chr7-101	chr7	118288364	118288532	+	1	NA	TTS (ENSMUST00000208632.2)	TEC-TTS (ENSMUST00000208632.2)	680	ENSMUST00000208632.2	ENSMUSG00000109357	ENSMUST00000208632			Gm45236			TEC
chr15-144	chr15	63398756	63398924	+	1	NA	intron (ENSMUST00000228339.3, intron 2 of 8)	lncRNA-intron (ENSMUST00000228339.3, intron 2 of 8)	-34698	ENSMUST00000227647.2	ENSMUSG00000115377	ENSMUST00000227647			Gm4942			processed_pseudogene
chr15-771	chr15	81594004	81594172	+	1	NA	intron (ENSMUST00000229705.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000052374.13, intron 11 of 15)	573	ENSMUST00000229705.2	ENSMUSG00000022391	ENSMUST00000230287			Rangap1			protein_coding
chr12-316	chr12	28178005	28178173	+	1	NA	Intergenic	Intergenic	-67562	ENSMUST00020182780.1	ENSMUSG00002075242	ENSMUST00020182780			Gm54554			rRNA
chrX-22	chrX	105591778	105591946	+	1	NA	Intergenic	Intergenic	32605	ENSMUST00000064892.4	ENSMUSG00000052821	ENSMUST00000064892			Cysltr1			protein_coding
chr16-134	chr16	29533395	29533563	+	1	NA	Intergenic	Intergenic	39651	ENSMUST00000232037.2	ENSMUSG00000116814	ENSMUST00000232037			Gm49636			lncRNA
chr19-149	chr19	5775147	5775315	+	1	NA	intron (ENSMUST00000237081.2, intron 1 of 11)	protein_coding-intron (ENSMUST00000049295.15, intron 1 of 18)	1067	ENSMUST00000075606.6	ENSMUSG00000024937	ENSMUST00000235730			Ehbp1l1			protein_coding
chr16-70	chr16	23975491	23975591	+	1	NA	intron (ENSMUST00000230383.2, intron 2 of 3)	lncRNA-intron (ENSMUST00000230383.2, intron 2 of 3)	11770	ENSMUST00000230625.2	ENSMUSG00000116173	ENSMUST00000230625			Gm32126			lncRNA
chr11-1159	chr11	32554817	32554985	+	1	NA	intron (ENSMUST00000102821.4, intron 12 of 18)	protein_coding-intron (ENSMUST00000102821.4, intron 12 of 18)	16306	ENSMUST00000143397.2	ENSMUSG00000020272	ENSMUST00000143397			Stk10			protein_coding
chr13-22	chr13	30437825	30437993	+	1	NA	Intergenic	Intergenic	22073	ENSMUST00000222095.2	ENSMUSG00000038732	ENSMUST00000152798			Mboat1			protein_coding
chr4-1267	chr4	149144254	149144422	+	1	NA	intron (ENSMUST00000154860.8, intron 2 of 3)	protein_coding-intron (ENSMUST00000103217.11, intron 2 of 8)	-36502	ENSMUST00000118516.2	ENSMUSG00000081086	ENSMUST00000118516			Gm9506			processed_pseudogene
chr4-495	chr4	83862700	83862868	+	1	NA	Intergenic	Intergenic	-55689	ENSMUST00000128214.2	ENSMUSG00000085378	ENSMUST00000128214			Gm11415			lncRNA
chr4-515	chr4	125052808	125052976	+	1	NA	intron (ENSMUST00000245356.1, intron 2 of 4)	lncRNA-intron (ENSMUST00000243440.1, intron 2 of 3)	12846	ENSMUST00000244294.1	ENSMUSG00000120223	ENSMUST00000245356			Gm32611			lncRNA
chr2-424	chr2	78924797	78924965	+	1	NA	intron (ENSMUST00000193021.2, intron 3 of 4)	TEC-intron (ENSMUST00000193021.2, intron 3 of 4)	-28190	ENSMUST00000246949.1	ENSMUSG00000121035	ENSMUST00000246949			Gm35748			lncRNA
chr15-667	chr15	84758282	84758437	+	1	NA	Intergenic	Intergenic	7841	ENSMUST00000182243.2	ENSMUSG00000097954	ENSMUST00000182243			Gm4217			processed_pseudogene
chr4-366	chr4	72589983	72590151	+	1	NA	Intergenic	Intergenic	129164	ENSMUST00000117763.2	ENSMUSG00000083372	ENSMUST00000117763			Gm11235			processed_pseudogene
chr9-872	chr9	63654994	63655162	+	1	NA	intron (ENSMUST00000034973.10, intron 1 of 8)	protein_coding-intron (ENSMUST00000034973.10, intron 1 of 8)	3281	ENSMUST00000133108.3	ENSMUSG00000032402	ENSMUST00000137713			Smad3			protein_coding
chr9-574	chr9	6342651	6342819	+	1	NA	intron (ENSMUST00000214892.2, intron 5 of 5)	protein_coding-intron (ENSMUST00000058692.9, intron 5 of 6)	-72889	ENSMUST00000051706.6	ENSMUSG00000047619	ENSMUST00000051706			Ddi1			protein_coding
chr4-1013	chr4	95364763	95364896	+	1	NA	intron (ENSMUST00000142458.4, intron 1 of 2)	lncRNA-intron (ENSMUST00000142458.4, intron 1 of 2)	-7364	ENSMUST00000155789.2	ENSMUSG00000085835	ENSMUST00000155789			Gm12707			lncRNA
chr18-540	chr18	42149995	42150163	+	1	NA	Intergenic	Intergenic	-17965	ENSMUST00000097591.5	ENSMUSG00000073574	ENSMUST00000097591			Grxcr2			protein_coding
chr19-518	chr19	60466369	60466537	+	1	NA	Intergenic	Intergenic	-9711	ENSMUST00000051277.4	ENSMUSG00000045052	ENSMUST00000051277			Prlhr			protein_coding
chr5-244	chr5	114007356	114007524	+	1	NA	intron (ENSMUST00000168399.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000004646.13, intron 2 of 10)	5269	ENSMUST00000166647.8	ENSMUSG00000004530	ENSMUST00000168399			Coro1c			protein_coding
chr10-368	chr10	62257035	62257203	+	1	NA	intron (ENSMUST00000159579.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000020277.9, intron 1 of 17)	1068	ENSMUST00000159579.2	ENSMUSG00000020080	ENSMUST00000159579			Hkdc1			protein_coding
chr11-1190	chr11	67055774	67055942	+	1	NA	Intergenic	Intergenic	-5995	ENSMUST00000170159.8	ENSMUSG00000033196	ENSMUST00000018641			Myh2			protein_coding
chr10-99	chr10	86608294	86608354	+	1	NA	intron (ENSMUST00000218802.2, intron 1 of 13)	protein_coding-intron (ENSMUST00000075632.14, intron 14 of 15)	-6545	ENSMUST00000099396.3	ENSMUSG00000054027	ENSMUST00000218792			Nt5dc3			protein_coding
chr9-1020	chr9	61565341	61565509	+	1	NA	Intergenic	Intergenic	-104941	ENSMUST00000213572.2	ENSMUSG00000111739	ENSMUST00000213572			Gm47241			processed_pseudogene
chr10-57	chr10	95404008	95404176	+	1	NA	Intergenic	Intergenic	-4084	ENSMUST00000020217.7	ENSMUSG00000020029	ENSMUST00000020217			Nudt4			protein_coding
chr2-753	chr2	33356085	33356253	+	1	NA	intron (ENSMUST00000126442.2, intron 1 of 2)	protein_coding-intron (ENSMUST00000028125.12, intron 1 of 2)	-1075	ENSMUST00000155198.2	ENSMUSG00000026788	ENSMUST00000113156			Zbtb43			protein_coding
chr1-351	chr1	53868352	53868520	+	1	NA	intron (ENSMUST00000120904.8, intron 26 of 28)	protein_coding-intron (ENSMUST00000087659.11, intron 26 of 28)	11894	ENSMUST00000150677.8	ENSMUSG00000042807	ENSMUST00000120904			Hecw2			protein_coding
chr14-22	chr14	14580216	14580384	+	1	NA	intron (ENSMUST00000052678.9, intron 10 of 45)	protein_coding-intron (ENSMUST00000052678.9, intron 10 of 45)	4732	ENSMUST00000228206.2	ENSMUSG00000025278	ENSMUST00000228206			Flnb			protein_coding
chr10-856	chr10	88733986	88734154	+	1	NA	intron (ENSMUST00000020255.8, intron 3 of 14)	protein_coding-intron (ENSMUST00000020255.8, intron 3 of 14)	12216	ENSMUST00000020255.8	ENSMUSG00000020062	ENSMUST00000020255			Slc5a8			protein_coding
chr14-504	chr14	34070487	34070655	+	1	NA	Intergenic	Intergenic	3333	ENSMUST00000226608.2	ENSMUSG00000115431	ENSMUST00000226608			Gm3219			processed_pseudogene
chr11-841	chr11	86514501	86514669	+	1	NA	intron (ENSMUST00000018315.10, intron 7 of 11)	protein_coding-intron (ENSMUST00000018315.10, intron 7 of 11)	7267	ENSMUST00000117851.2	ENSMUSG00000083992	ENSMUST00000117851			Gm11478			processed_pseudogene
chr10-506	chr10	31339165	31339333	+	1	NA	Intergenic	Intergenic	-11171	ENSMUST00000217582.2	ENSMUSG00000111865	ENSMUST00000217582			Gm47687			TEC
chr4-539	chr4	41546126	41546294	+	1	NA	intron (ENSMUST00000108050.2, intron 1 of 5)	protein_coding-intron (ENSMUST00000108049.9, intron 1 of 5)	-21440	ENSMUST00000130288.2	ENSMUSG00000028439	ENSMUST00000146276			Fam219a			protein_coding
chr5-176	chr5	143640594	143640762	+	1	NA	intron (ENSMUST00000110727.2, intron 1 of 12)	protein_coding-intron (ENSMUST00000110727.2, intron 1 of 12)	3682	ENSMUST00000110727.2	ENSMUSG00000018001	ENSMUST00000177196			Cyth3			protein_coding
chr2-1298	chr2	49623601	49623761	+	1	NA	intron (ENSMUST00000152353.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000028102.14, intron 15 of 25)	1058	ENSMUST00000152353.2	ENSMUSG00000026764	ENSMUST00000028102			Kif5c			protein_coding
chr13-323	chr13	24841137	24841305	+	1	NA	intron (ENSMUST00000177298.8, intron 1 of 2)	protein_coding-intron (ENSMUST00000038477.7, intron 1 of 14)	-15701	ENSMUST00000176303.2	ENSMUSG00000036006	ENSMUST00000110384			Ripor2			protein_coding
chr11-836	chr11	83784205	83784373	+	1	NA	exon (ENSMUST00000021016.10, exon 7 of 9)	protein_coding-exon (ENSMUST00000021016.10, exon 7 of 9)	40503	ENSMUST00000108113.3	ENSMUSG00000020679	ENSMUST00000146786			Hnf1b			protein_coding
chr3-688	chr3	103532565	103532730	+	1	NA	intron (ENSMUST00000118563.3, intron 4 of 4)	protein_coding-intron (ENSMUST00000090697.11, intron 4 of 7)	20737	ENSMUST00000117271.3	ENSMUSG00000087119	ENSMUST00000117271			Atg4a-ps			protein_coding
chr12-258	chr12	28855230	28855398	+	1	NA	intron (ENSMUST00000035657.9, intron 4 of 9)	protein_coding-intron (ENSMUST00000035657.9, intron 4 of 9)	-4823	ENSMUST00000222829.2	ENSMUSG00000113886	ENSMUST00000222829			Gm48905			lncRNA
chr8-35	chr8	129126933	129127101	+	1	NA	intron (ENSMUST00000212933.2, intron 2 of 7)	protein_coding-intron (ENSMUST00000026917.10, intron 2 of 16)	41139	ENSMUST00000212933.2	ENSMUSG00000025810	ENSMUST00000212833			Nrp1			protein_coding
chr11-712	chr11	43642149	43642317	+	1	NA	Intergenic	Intergenic	-3398	ENSMUST00000109278.8	ENSMUSG00000041278	ENSMUST00000147984			Ttc1			protein_coding
chr7-68	chr7	92158402	92158570	+	1	NA	Intergenic	Intergenic	-51871	ENSMUST00000032842.13	ENSMUSG00000030613	ENSMUST00000032842			Ccdc90b			protein_coding
chr15-839	chr15	34057360	34057528	+	1	NA	intron (ENSMUST00000243713.1, intron 1 of 1)	lncRNA-intron (ENSMUST00000243713.1, intron 1 of 1)	3542	ENSMUST00000243713.1	ENSMUSG00000120494	ENSMUST00000243713			Gm56701			lncRNA
chr12-545	chr12	13592127	13592295	+	1	NA	intron (ENSMUST00000223081.2, intron 5 of 6)	protein_coding-intron (ENSMUST00000042953.10, intron 48 of 51)	-34242	ENSMUST00000240304.1	ENSMUSG00000119368	ENSMUST00000240304			Gm22170			snRNA
chr9-792	chr9	87850783	87850946	+	1	NA	Intergenic	Intergenic	52738	ENSMUST00000104365.3	ENSMUSG00000077553	ENSMUST00000104365			Gm23176			snoRNA
chr16-173	chr16	85074884	85075052	+	1	NA	Intergenic	Intergenic	-104314	ENSMUST00000227723.2	ENSMUSG00000022892	ENSMUST00000227723			App			protein_coding
chr6-34	chr6	125580174	125580342	+	1	NA	promoter-TSS (ENSMUST00000134073.2)	protein_coding-promoter-TSS (ENSMUST00000134073.2)	-255	ENSMUST00000134073.2	ENSMUSG00000001930	ENSMUST00000134073			Vwf			protein_coding
chr8-673	chr8	41105844	41106012	+	1	NA	Intergenic	Intergenic	-18088	ENSMUST00000174537.2	ENSMUSG00000039431	ENSMUST00000174537			Mtmr7			protein_coding
chr14-585	chr14	55131112	55131280	+	1	NA	promoter-TSS (ENSMUST00000022808.14)	protein_coding-promoter-TSS (ENSMUST00000022808.14)	-409	ENSMUST00000116476.9	ENSMUSG00000022194	ENSMUST00000172695			Pabpn1			protein_coding
chr15-251	chr15	67147004	67147172	+	1	NA	intron (ENSMUST00000187233.2, intron 4 of 8)	lncRNA-intron (ENSMUST00000187233.2, intron 4 of 8)	48470	ENSMUST00000187233.2	ENSMUSG00000102069	ENSMUST00000187233			1700012I11Rik			lncRNA
chr10-976	chr10	83806229	83806397	+	1	NA	Intergenic	Intergenic	34411	ENSMUST00000215772.2	ENSMUSG00000111699	ENSMUST00000215772			C230099D08Rik			lncRNA
chr12-222	chr12	74570884	74571052	+	1	NA	Intergenic	Intergenic	69906	ENSMUST00000223276.2	ENSMUSG00000113962	ENSMUST00000223276			Gm47618			processed_pseudogene
chr4-530	chr4	151493294	151493462	+	1	NA	intron (ENSMUST00000097774.9, intron 5 of 22)	protein_coding-intron (ENSMUST00000049790.14, intron 5 of 23)	32451	ENSMUST00000129097.2	ENSMUSG00000085593	ENSMUST00000129097			4930589P08Rik			lncRNA
chr10-596	chr10	80672692	80672851	+	1	NA	intron (ENSMUST00000053986.9, intron 1 of 1)	protein_coding-intron (ENSMUST00000053986.9, intron 1 of 1)	6861	ENSMUST00000219924.2	ENSMUSG00000051067	ENSMUST00000219924			Lingo3			protein_coding
chr3-952	chr3	37703479	37703647	+	1	NA	Intergenic	Intergenic	4807	ENSMUST00000199414.2	ENSMUSG00000106062	ENSMUST00000199414			Gm43820			TEC
chr18-587	chr18	9275657	9275818	+	1	NA	Intergenic	Intergenic	7072	ENSMUST00000041007.4	ENSMUSG00000036855	ENSMUST00000041007			Gjd4			protein_coding
chr16-256	chr16	29730041	29730209	+	1	NA	intron (ENSMUST00000181968.2, intron 1 of 3)	lncRNA-intron (ENSMUST00000181968.2, intron 1 of 3)	35210	ENSMUST00000181968.2	ENSMUSG00000097313	ENSMUST00000242727			Gm26569			lncRNA
